# BEGIN PLOT
Legend=1
LogY=1
Title=Total jet broadening ($E_\mathrm{CMS}=91.2$ GeV)
XLabel=$B_T$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}B_T$
LegendXPos=0.15
LegendYPos=0.6
DrawOnly=/ALEPH_2004_S5765862/d70-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d70-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d70-x01-y01 //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d70-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d70-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d70-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d70-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	4.272000e-02	4.626283e-02	4.626283e-02
1.000000e-02	2.000000e-02	1.284200e-01	1.311742e-01	1.311742e-01
2.000000e-02	3.000000e-02	3.396100e-01	1.076764e-01	1.076764e-01
3.000000e-02	4.000000e-02	2.671840e+00	1.784111e-01	1.784111e-01
4.000000e-02	5.000000e-02	7.433770e+00	4.854655e-01	4.854655e-01
5.000000e-02	6.000000e-02	1.001998e+01	6.477190e-01	6.477190e-01
6.000000e-02	7.000000e-02	1.066737e+01	1.442002e-01	1.442002e-01
7.000000e-02	8.000000e-02	9.777300e+00	1.242674e-01	1.242674e-01
8.000000e-02	9.000000e-02	8.316930e+00	1.060370e-01	1.060370e-01
9.000000e-02	1.000000e-01	7.024180e+00	9.504679e-02	9.504679e-02
1.000000e-01	1.100000e-01	6.008250e+00	8.724663e-02	8.724663e-02
1.100000e-01	1.200000e-01	5.157290e+00	8.123926e-02	8.123926e-02
1.200000e-01	1.300000e-01	4.476770e+00	1.512655e-01	1.512655e-01
1.300000e-01	1.400000e-01	3.839190e+00	1.293308e-01	1.293308e-01
1.400000e-01	1.500000e-01	3.328710e+00	1.155344e-01	1.155344e-01
1.500000e-01	1.600000e-01	2.933150e+00	1.208117e-01	1.208117e-01
1.600000e-01	1.700000e-01	2.540090e+00	1.082142e-01	1.082142e-01
1.700000e-01	1.800000e-01	2.233720e+00	9.222465e-02	9.222465e-02
1.800000e-01	1.900000e-01	1.961770e+00	8.608688e-02	8.608688e-02
1.900000e-01	2.000000e-01	1.725170e+00	8.082126e-02	8.082126e-02
2.000000e-01	2.100000e-01	1.503360e+00	6.831016e-02	6.831016e-02
2.100000e-01	2.200000e-01	1.324650e+00	6.184437e-02	6.184437e-02
2.200000e-01	2.300000e-01	1.142850e+00	5.396320e-02	5.396320e-02
2.300000e-01	2.400000e-01	1.001040e+00	4.720821e-02	4.720821e-02
2.400000e-01	2.500000e-01	8.544800e-01	4.825699e-02	4.825699e-02
2.500000e-01	2.600000e-01	7.541600e-01	4.196746e-02	4.196746e-02
2.600000e-01	2.700000e-01	6.308900e-01	4.563766e-02	4.563766e-02
2.700000e-01	2.800000e-01	5.526500e-01	3.645872e-02	3.645872e-02
2.800000e-01	2.900000e-01	4.482600e-01	2.965817e-02	2.965817e-02
2.900000e-01	3.000000e-01	3.689500e-01	2.434464e-02	2.434464e-02
3.000000e-01	3.100000e-01	2.828900e-01	3.881902e-02	3.881902e-02
3.100000e-01	3.200000e-01	1.895800e-01	2.612528e-02	2.612528e-02
3.200000e-01	3.300000e-01	1.354200e-01	1.940530e-02	1.940530e-02
3.300000e-01	3.400000e-01	8.874000e-02	2.281511e-02	2.281511e-02
3.400000e-01	3.500000e-01	4.997000e-02	1.275392e-02	1.275392e-02
3.500000e-01	3.600000e-01	2.759000e-02	7.667059e-03	7.667059e-03
3.600000e-01	3.700000e-01	1.238000e-02	2.540669e-03	2.540669e-03
3.700000e-01	3.800000e-01	3.690000e-03	8.942595e-04	8.942595e-04
3.800000e-01	3.900000e-01	1.950000e-03	8.577879e-04	8.577879e-04
3.900000e-01	4.000000e-01	2.700000e-04	8.600000e-04	8.600000e-04
# END HISTO1D


# BEGIN HISTO1D //Users/apapaefs/Projects/Pyresias/Caitlyn_results/EE.yoda/ALEPH_2004_S5765862/d70-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
