# BEGIN PLOT
Legend=1
LogY=1
Title=Jet mass difference ($E_\mathrm{CMS}=206$ GeV)
XLabel=$M_D$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}M_D$
LegendXPos=0.65
LegendYPos=0.8
DrawOnly=/ALEPH_2004_S5765862/d117-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d117-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d117-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d117-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d117-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d117-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d117-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d117-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d117-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	3.038070e+01	7.278671e-01	7.278671e-01
2.000000e-02	4.000000e-02	7.574200e+00	3.704223e-01	3.704223e-01
4.000000e-02	6.000000e-02	4.125000e+00	2.901075e-01	2.901075e-01
6.000000e-02	8.000000e-02	2.283400e+00	2.370681e-01	2.370681e-01
8.000000e-02	1.200000e-01	1.399900e+00	1.382775e-01	1.382775e-01
1.200000e-01	1.600000e-01	8.137000e-01	1.161319e-01	1.161319e-01
1.600000e-01	2.000000e-01	3.412000e-01	1.070185e-01	1.070185e-01
2.000000e-01	2.400000e-01	9.730000e-02	7.422998e-02	7.422998e-02
2.400000e-01	2.800000e-01	1.155000e-01	6.358310e-02	6.358310e-02
2.800000e-01	3.200000e-01	3.860000e-02	4.159531e-02	4.159531e-02
3.200000e-01	4.000000e-01	6.300000e-03	1.453444e-02	1.453444e-02
4.000000e-01	1.000000e+00	-1.000000e-04	9.500000e-03	9.500000e-03
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d117-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d117-x01-y01
ScaledBy=1.00009600921688489e-06
Title=My Shower
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	3.231690e+01	4.019951e-02	4.019951e-02
2.000000e-02	4.000000e-02	6.841555e+00	1.849624e-02	1.849624e-02
4.000000e-02	6.000000e-02	3.464383e+00	1.316191e-02	1.316191e-02
6.000000e-02	8.000000e-02	2.190760e+00	1.046654e-02	1.046654e-02
8.000000e-02	1.200000e-01	1.277973e+00	5.652644e-03	5.652644e-03
1.200000e-01	1.600000e-01	6.855657e-01	4.140144e-03	4.140144e-03
1.600000e-01	2.000000e-01	3.759610e-01	3.065931e-03	3.065931e-03
2.000000e-01	2.400000e-01	1.829176e-01	2.138546e-03	2.138546e-03
2.400000e-01	2.800000e-01	5.520530e-02	1.174847e-03	1.174847e-03
2.800000e-01	3.200000e-01	1.260121e-02	5.613025e-04	5.613025e-04
3.200000e-01	4.000000e-01	1.450139e-03	1.346421e-04	1.346421e-04
4.000000e-01	1.000000e+00	5.000480e-06	2.887028e-06	2.887028e-06
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d117-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d117-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	3.009098e+01	1.734675e-02	1.734675e-02
2.000000e-02	4.000000e-02	8.158680e+00	9.032541e-03	9.032541e-03
4.000000e-02	6.000000e-02	3.980900e+00	6.309437e-03	6.309437e-03
6.000000e-02	8.000000e-02	2.365010e+00	4.863137e-03	4.863137e-03
8.000000e-02	1.200000e-01	1.315995e+00	2.565146e-03	2.565146e-03
1.200000e-01	1.600000e-01	6.706800e-01	1.831229e-03	1.831229e-03
1.600000e-01	2.000000e-01	3.710500e-01	1.362076e-03	1.362076e-03
2.000000e-01	2.400000e-01	2.135350e-01	1.033284e-03	1.033284e-03
2.400000e-01	2.800000e-01	1.004150e-01	7.085725e-04	7.085725e-04
2.800000e-01	3.200000e-01	2.709500e-02	3.680693e-04	3.680693e-04
3.200000e-01	4.000000e-01	1.682500e-03	6.485561e-05	6.485561e-05
4.000000e-01	1.000000e+00	5.333333e-06	1.333333e-06	1.333333e-06
# END HISTO1D

