# BEGIN PLOT
Legend=1
LogY=1
Title=Total jet broadening ($E_\mathrm{CMS}=206$ GeV)
XLabel=$B_T$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}B_T$
LegendXPos=0.15
LegendYPos=0.3
DrawOnly=/ALEPH_2004_S5765862/d77-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d77-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d77-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d77-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d77-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d77-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d77-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d77-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d77-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	2.412500e+00	2.343849e-01	2.343849e-01
3.000000e-02	4.000000e-02	1.280730e+01	7.699008e-01	7.699008e-01
4.000000e-02	5.000000e-02	1.186040e+01	6.511747e-01	6.511747e-01
5.000000e-02	6.000000e-02	9.376400e+00	5.397257e-01	5.397257e-01
6.000000e-02	7.500000e-02	7.749000e+00	3.957040e-01	3.957040e-01
7.500000e-02	9.000000e-02	6.203400e+00	3.404789e-01	3.404789e-01
9.000000e-02	1.100000e-01	4.369400e+00	2.537768e-01	2.537768e-01
1.100000e-01	1.300000e-01	3.277000e+00	2.326849e-01	2.326849e-01
1.300000e-01	1.600000e-01	2.530900e+00	1.738924e-01	1.738924e-01
1.600000e-01	2.000000e-01	1.483600e+00	1.366948e-01	1.366948e-01
2.000000e-01	2.500000e-01	8.838000e-01	1.309445e-01	1.309445e-01
2.500000e-01	3.000000e-01	4.628000e-01	1.448431e-01	1.448431e-01
3.000000e-01	4.000000e-01	2.237000e-01	8.009126e-02	8.009126e-02
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d77-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d77-x01-y01
ScaledBy=1.00009600921688489e-06
Title=My Shower
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	3.830933e+00	1.130089e-02	1.130089e-02
3.000000e-02	4.000000e-02	1.362401e+01	3.691249e-02	3.691249e-02
4.000000e-02	5.000000e-02	1.179433e+01	3.434452e-02	3.434452e-02
5.000000e-02	6.000000e-02	9.705932e+00	3.115584e-02	3.115584e-02
6.000000e-02	7.500000e-02	7.526787e+00	2.240166e-02	2.240166e-02
7.500000e-02	9.000000e-02	5.597204e+00	1.931794e-02	1.931794e-02
9.000000e-02	1.100000e-01	4.202403e+00	1.449622e-02	1.449622e-02
1.100000e-01	1.300000e-01	3.135051e+00	1.252069e-02	1.252069e-02
1.300000e-01	1.600000e-01	2.260750e+00	8.681335e-03	8.681335e-03
1.600000e-01	2.000000e-01	1.472966e+00	6.068583e-03	6.068583e-03
2.000000e-01	2.500000e-01	8.289996e-01	4.072049e-03	4.072049e-03
2.500000e-01	3.000000e-01	3.309318e-01	2.572795e-03	2.572795e-03
3.000000e-01	4.000000e-01	5.482526e-02	7.404764e-04	7.404764e-04
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d77-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d77-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e-02	2.351420e+00	3.959310e-03	3.959310e-03
3.000000e-02	4.000000e-02	1.089736e+01	1.476303e-02	1.476303e-02
4.000000e-02	5.000000e-02	1.112432e+01	1.491598e-02	1.491598e-02
5.000000e-02	6.000000e-02	9.868700e+00	1.404899e-02	1.404899e-02
6.000000e-02	7.500000e-02	8.216120e+00	1.046653e-02	1.046653e-02
7.500000e-02	9.000000e-02	6.478840e+00	9.294328e-03	9.294328e-03
9.000000e-02	1.100000e-01	4.971200e+00	7.050674e-03	7.050674e-03
1.100000e-01	1.300000e-01	3.701170e+00	6.083724e-03	6.083724e-03
1.300000e-01	1.600000e-01	2.600867e+00	4.164026e-03	4.164026e-03
1.600000e-01	2.000000e-01	1.622335e+00	2.848100e-03	2.848100e-03
2.000000e-01	2.500000e-01	8.983800e-01	1.895658e-03	1.895658e-03
2.500000e-01	3.000000e-01	4.433640e-01	1.331712e-03	1.331712e-03
3.000000e-01	4.000000e-01	6.675000e-02	3.653765e-04	3.653765e-04
# END HISTO1D

