# BEGIN PLOT
Legend=1
LogY=1
Title=Charged particle spectrum ($E_\mathrm{CMS}=206$ GeV)
XLabel=$\xi_p$
YLabel=$1/\sigma \, \mathrm{d}\sigma/\mathrm{d}\xi_p$
FullRange=1
LegendYPos=0.65
DrawOnly=/ALEPH_2004_S5765862/d18-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d18-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d18-x01-y01
LegendOnly=/ALEPH_2004_S5765862/d18-x01-y01 //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d18-x01-y01 //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d18-x01-y01
RatioPlot=1
RatioPlotReference=/ALEPH_2004_S5765862/d18-x01-y01
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d18-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d18-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.300000e-02	3.275668e-03	3.275668e-03
2.000000e-01	4.000000e-01	5.240000e-02	1.253236e-02	1.253236e-02
4.000000e-01	6.000000e-01	1.485000e-01	1.875420e-02	1.875420e-02
6.000000e-01	8.000000e-01	3.082000e-01	2.741915e-02	2.741915e-02
8.000000e-01	1.000000e+00	6.846000e-01	3.929020e-02	3.929020e-02
1.000000e+00	1.200000e+00	9.756000e-01	4.844058e-02	4.844058e-02
1.200000e+00	1.400000e+00	1.284200e+00	5.486164e-02	5.486164e-02
1.400000e+00	1.600000e+00	1.870500e+00	6.795771e-02	6.795771e-02
1.600000e+00	1.800000e+00	2.311100e+00	7.567225e-02	7.567225e-02
1.800000e+00	2.000000e+00	3.062000e+00	8.124678e-02	8.124678e-02
2.000000e+00	2.200000e+00	3.697900e+00	9.353849e-02	9.353849e-02
2.200000e+00	2.400000e+00	4.280600e+00	1.025290e-01	1.025290e-01
2.400000e+00	2.600000e+00	4.797200e+00	1.066813e-01	1.066813e-01
2.600000e+00	2.800000e+00	5.569900e+00	1.159383e-01	1.159383e-01
2.800000e+00	3.000000e+00	5.810100e+00	1.203979e-01	1.203979e-01
3.000000e+00	3.200000e+00	6.694900e+00	1.323447e-01	1.323447e-01
3.200000e+00	3.400000e+00	6.786100e+00	1.329339e-01	1.329339e-01
3.400000e+00	3.600000e+00	7.284000e+00	1.392625e-01	1.392625e-01
3.600000e+00	3.800000e+00	7.255300e+00	1.510505e-01	1.510505e-01
3.800000e+00	4.000000e+00	7.538800e+00	1.543972e-01	1.543972e-01
4.000000e+00	4.200000e+00	7.638500e+00	1.525556e-01	1.525556e-01
4.200000e+00	4.400000e+00	7.715000e+00	1.744122e-01	1.744122e-01
4.400000e+00	4.600000e+00	7.690700e+00	1.592915e-01	1.592915e-01
4.600000e+00	4.800000e+00	6.789800e+00	1.487441e-01	1.487441e-01
4.800000e+00	5.000000e+00	6.774700e+00	1.516054e-01	1.516054e-01
5.000000e+00	5.200000e+00	6.412300e+00	1.376875e-01	1.376875e-01
5.200000e+00	5.400000e+00	5.577700e+00	1.295482e-01	1.295482e-01
5.400000e+00	5.600000e+00	5.003300e+00	1.294640e-01	1.294640e-01
5.600000e+00	5.800000e+00	4.244100e+00	1.266771e-01	1.266771e-01
5.800000e+00	6.000000e+00	3.278700e+00	1.110212e-01	1.110212e-01
6.000000e+00	6.200000e+00	2.481400e+00	1.270503e-01	1.270503e-01
6.200000e+00	6.400000e+00	1.528400e+00	2.583490e-01	2.583490e-01
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d18-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/Zykerin/NewData/LHE-LEP-NoShower-Rivet.yoda/ALEPH_2004_S5765862/d18-x01-y01
ScaledBy=1.00009600921688489e-06
Title=My Shower
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	8.645830e-03	2.079262e-04	2.079262e-04
2.000000e-01	4.000000e-01	6.397615e-02	5.656072e-04	5.656072e-04
4.000000e-01	6.000000e-01	1.936086e-01	9.839389e-04	9.839389e-04
6.000000e-01	8.000000e-01	4.090842e-01	1.430251e-03	1.430251e-03
8.000000e-01	1.000000e+00	7.167540e-01	1.893175e-03	1.893175e-03
1.000000e+00	1.200000e+00	1.104431e+00	2.350039e-03	2.350039e-03
1.200000e+00	1.400000e+00	1.539953e+00	2.774978e-03	2.774978e-03
1.400000e+00	1.600000e+00	2.017843e+00	3.176506e-03	3.176506e-03
1.600000e+00	1.800000e+00	2.522812e+00	3.551798e-03	3.551798e-03
1.800000e+00	2.000000e+00	3.037532e+00	3.897322e-03	3.897322e-03
2.000000e+00	2.200000e+00	3.553191e+00	4.215170e-03	4.215170e-03
2.200000e+00	2.400000e+00	4.071836e+00	4.512331e-03	4.512331e-03
2.400000e+00	2.600000e+00	4.590915e+00	4.791324e-03	4.791324e-03
2.600000e+00	2.800000e+00	5.111425e+00	5.055648e-03	5.055648e-03
2.800000e+00	3.000000e+00	5.611325e+00	5.297103e-03	5.297103e-03
3.000000e+00	3.200000e+00	6.081945e+00	5.514767e-03	5.514767e-03
3.200000e+00	3.400000e+00	6.480510e+00	5.692598e-03	5.692598e-03
3.400000e+00	3.600000e+00	6.803785e+00	5.832853e-03	5.832853e-03
3.600000e+00	3.800000e+00	7.065160e+00	5.943835e-03	5.943835e-03
3.800000e+00	4.000000e+00	7.247325e+00	6.019975e-03	6.019975e-03
4.000000e+00	4.200000e+00	7.347865e+00	6.061588e-03	6.061588e-03
4.200000e+00	4.400000e+00	7.374265e+00	6.072467e-03	6.072467e-03
4.400000e+00	4.600000e+00	7.307900e+00	6.045083e-03	6.045083e-03
4.600000e+00	4.800000e+00	7.119770e+00	5.966762e-03	5.966762e-03
4.800000e+00	5.000000e+00	6.814840e+00	5.837592e-03	5.837592e-03
5.000000e+00	5.200000e+00	6.384805e+00	5.650405e-03	5.650405e-03
5.200000e+00	5.400000e+00	5.785240e+00	5.378566e-03	5.378566e-03
5.400000e+00	5.600000e+00	5.055530e+00	5.027929e-03	5.027929e-03
5.600000e+00	5.800000e+00	4.242527e+00	4.605939e-03	4.605939e-03
5.800000e+00	6.000000e+00	3.380524e+00	4.111477e-03	4.111477e-03
6.000000e+00	6.200000e+00	2.581833e+00	3.593105e-03	3.593105e-03
6.200000e+00	6.400000e+00	1.880290e+00	3.066326e-03	3.066326e-03
# END HISTO1D


# BEGIN HISTO1D //home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d18-x01-y01
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//home/Zykerin/NewData/EE.yoda/ALEPH_2004_S5765862/d18-x01-y01
ScaledBy=1.99999999999999991e-07
Title=Herwig 7.3.0 PS + MECorr
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	9.616000e-03	9.806121e-05	9.806121e-05
2.000000e-01	4.000000e-01	6.467600e-02	2.543148e-04	2.543148e-04
4.000000e-01	6.000000e-01	1.859080e-01	4.311705e-04	4.311705e-04
6.000000e-01	8.000000e-01	3.894150e-01	6.240312e-04	6.240312e-04
8.000000e-01	1.000000e+00	6.789170e-01	8.239642e-04	8.239642e-04
1.000000e+00	1.200000e+00	1.037031e+00	1.018347e-03	1.018347e-03
1.200000e+00	1.400000e+00	1.456085e+00	1.206683e-03	1.206683e-03
1.400000e+00	1.600000e+00	1.926191e+00	1.387873e-03	1.387873e-03
1.600000e+00	1.800000e+00	2.432083e+00	1.559514e-03	1.559514e-03
1.800000e+00	2.000000e+00	2.964757e+00	1.721847e-03	1.721847e-03
2.000000e+00	2.200000e+00	3.518100e+00	1.875660e-03	1.875660e-03
2.200000e+00	2.400000e+00	4.077122e+00	2.019189e-03	2.019189e-03
2.400000e+00	2.600000e+00	4.639539e+00	2.153959e-03	2.153959e-03
2.600000e+00	2.800000e+00	5.223460e+00	2.285489e-03	2.285489e-03
2.800000e+00	3.000000e+00	5.779270e+00	2.404011e-03	2.404011e-03
3.000000e+00	3.200000e+00	6.291570e+00	2.508300e-03	2.508300e-03
3.200000e+00	3.400000e+00	6.726865e+00	2.593620e-03	2.593620e-03
3.400000e+00	3.600000e+00	7.081610e+00	2.661129e-03	2.661129e-03
3.600000e+00	3.800000e+00	7.350555e+00	2.711190e-03	2.711190e-03
3.800000e+00	4.000000e+00	7.522775e+00	2.742767e-03	2.742767e-03
4.000000e+00	4.200000e+00	7.588145e+00	2.754658e-03	2.754658e-03
4.200000e+00	4.400000e+00	7.548655e+00	2.747481e-03	2.747481e-03
4.400000e+00	4.600000e+00	7.366345e+00	2.714101e-03	2.714101e-03
4.600000e+00	4.800000e+00	7.050790e+00	2.655332e-03	2.655332e-03
4.800000e+00	5.000000e+00	6.614035e+00	2.571777e-03	2.571777e-03
5.000000e+00	5.200000e+00	6.040965e+00	2.457837e-03	2.457837e-03
5.200000e+00	5.400000e+00	5.367670e+00	2.316823e-03	2.316823e-03
5.400000e+00	5.600000e+00	4.609314e+00	2.146932e-03	2.146932e-03
5.600000e+00	5.800000e+00	3.814191e+00	1.952995e-03	1.952995e-03
5.800000e+00	6.000000e+00	3.032173e+00	1.741313e-03	1.741313e-03
6.000000e+00	6.200000e+00	2.308035e+00	1.519222e-03	1.519222e-03
6.200000e+00	6.400000e+00	1.689985e+00	1.299994e-03	1.299994e-03
# END HISTO1D

